iter	RMSE
0	4717.640468
1	4656.140837
2	4600.506276
3	4545.219736
4	4495.874466
5	4453.717126
6	4415.581867
7	4379.210078
8	4348.073631
9	4320.213756
10	4295.32766
11	4272.615042
12	4252.549327
13	4233.477525
14	4216.600141
15	4201.254051
16	4187.057889
17	4174.447785
18	4162.999561
19	4153.08749
20	4143.049084
21	4134.349961
22	4126.81871
23	4120.236903
24	4114.149063
25	4109.471277
26	4098.258878
27	4087.710097
28	4079.066829
29	4070.752767
30	4064.341691
31	4057.880457
32	4052.489045
33	4046.368826
34	4040.832826
35	4036.660848
36	4032.466618
37	4028.783538
38	4026.00774
39	4022.913884
40	4020.743946
41	4018.938014
42	4016.962406
43	4013.823538
44	4010.78523
45	4007.152197
46	4004.821888
47	4002.159836
48	3999.484834
49	3996.834815
50	3994.701583
51	3992.95678
52	3991.065253
53	3990.219823
54	3988.226218
55	3986.506767
56	3985.086799
57	3983.824843
58	3982.531165
59	3981.258103
60	3980.20847
61	3978.792607
62	3978.064778
63	3977.671357
64	3976.683803
65	3975.687572
66	3974.997906
67	3974.509695
68	3973.912078
69	3973.214989
70	3972.447251
71	3971.759751
72	3970.871762
73	3970.806303
74	3970.19832
75	3969.956819
76	3969.442931
77	3969.067567
78	3967.1612
79	3966.079569
80	3965.495915
81	3965.282097
82	3964.369295
83	3963.887819
84	3963.218107
85	3962.794964
86	3962.5131
87	3961.952279
88	3961.062334
89	3960.903768
90	3959.967428
91	3959.475758
92	3958.838745
93	3958.439914
94	3958.145636
95	3957.447102
96	3957.311767
97	3956.485461
98	3955.57836
99	3954.882175
100	3954.290821
101	3953.77169
102	3953.184882
103	3953.148393
104	3952.978818
105	3952.227489
106	3951.686779
107	3951.166659
108	3950.208167
109	3949.265454
110	3948.991699
111	3948.69718
112	3948.526286
113	3948.486775
114	3948.205858
115	3947.686719
116	3947.355039
117	3946.523602
118	3946.067272
119	3945.4134
120	3944.873765
121	3944.463051
122	3943.67873
123	3943.506066
124	3943.498456
125	3943.09593
126	3943.089844
127	3942.349137
128	3942.039019
129	3940.683895
130	3940.430712
131	3939.606534
132	3938.597325
133	3938.565173
134	3938.189896
135	3938.095157
136	3937.378401
137	3937.144831
138	3936.565979
139	3935.850475
140	3935.408224
141	3934.994939
142	3934.65585
143	3934.192343
144	3934.068318
145	3933.778172
146	3932.902499
147	3932.77916
148	3932.688474
149	3932.094772
150	3932.02464
151	3931.491204
152	3931.236565
153	3930.762227
154	3930.740323
155	3929.628364
156	3928.962167
157	3928.427031
158	3927.917682
159	3927.675026
160	3927.347417
161	3926.805182
162	3926.783673
163	3926.212173
164	3925.418599
165	3925.268018
166	3924.75011
167	3924.276445
168	3924.075834
169	3923.713949
170	3923.532217
171	3923.064028
172	3922.349257
173	3921.686875
174	3921.47297
175	3920.931301
176	3920.768524
177	3920.279861
178	3920.041323
179	3919.6731
180	3919.277864
181	3919.232866
182	3919.218712
183	3918.682825
184	3918.669202
185	3918.255876
186	3918.244345
187	3917.850222
188	3916.950213
189	3916.608658
190	3916.319311
191	3916.268215
192	3915.848494
193	3915.304402
194	3914.484639
195	3913.994388
196	3913.774514
197	3912.63734
198	3912.626694
199	3912.339674
200	3912.293097
201	3911.975162
202	3911.950644
203	3910.730935
204	3910.227875
205	3909.75965
206	3909.095219
207	3908.043677
208	3907.847364
209	3907.817514
210	3907.616518
211	3907.416873
212	3907.318766
