iter	Passed	Remaining
0	5	5595
1	10	5238
2	14	4763
3	17	4283
4	19	3807
5	20	3437
6	22	3232
7	24	3022
8	25	2842
9	27	2734
10	29	2624
11	30	2529
12	32	2453
13	33	2376
14	36	2374
15	37	2314
16	39	2263
17	40	2209
18	41	2160
19	43	2125
20	44	2088
21	46	2059
22	49	2083
23	50	2059
24	52	2039
25	54	2026
26	55	2013
27	57	1994
28	58	1973
29	60	1956
30	62	1942
31	63	1931
32	65	1915
33	66	1903
34	68	1887
35	71	1905
36	72	1894
37	74	1883
38	76	1875
39	77	1866
40	80	1873
41	81	1854
42	83	1855
43	84	1846
44	86	1837
45	88	1833
46	89	1821
47	91	1811
48	93	1806
49	94	1799
50	96	1795
51	98	1788
52	99	1781
53	101	1775
54	103	1784
55	105	1777
56	107	1770
57	108	1762
58	110	1766
59	113	1773
60	114	1769
61	116	1762
62	118	1758
63	119	1743
64	120	1737
65	122	1740
66	124	1734
67	126	1732
68	127	1726
69	130	1727
70	131	1724
71	133	1718
72	135	1714
73	135	1699
74	137	1696
75	139	1693
76	141	1690
77	142	1685
78	144	1680
79	145	1675
80	147	1673
81	148	1665
82	150	1661
83	152	1666
84	155	1676
85	158	1685
86	160	1680
87	161	1678
88	164	1681
89	165	1677
90	167	1673
91	170	1678
92	171	1675
93	173	1671
94	175	1669
95	176	1665
96	177	1657
97	179	1652
98	181	1648
99	182	1645
100	184	1643
101	186	1646
102	188	1642
103	189	1634
104	191	1630
105	192	1626
106	194	1622
107	195	1617
108	197	1613
109	198	1608
110	200	1604
111	202	1602
112	204	1603
113	205	1597
114	207	1593
115	208	1589
116	210	1586
117	211	1583
118	213	1580
119	215	1577
120	216	1575
121	219	1577
122	220	1574
123	222	1570
124	223	1563
125	224	1560
126	225	1552
127	227	1549
128	229	1546
129	230	1542
130	231	1538
131	233	1534
132	234	1531
133	236	1527
134	238	1530
135	240	1526
136	241	1523
137	243	1520
138	244	1516
139	246	1513
140	247	1510
141	249	1507
142	251	1504
143	252	1501
144	254	1498
145	255	1495
146	257	1492
147	258	1489
148	260	1486
149	262	1488
150	264	1485
151	266	1486
152	268	1484
153	269	1481
154	270	1476
155	273	1477
156	274	1474
157	276	1474
158	278	1471
159	279	1468
160	281	1464
161	282	1462
162	284	1459
163	286	1461
164	288	1457
165	289	1454
166	291	1451
167	292	1449
168	294	1447
169	296	1445
170	297	1443
171	299	1440
172	300	1437
173	302	1433
174	303	1431
175	305	1429
176	306	1427
177	309	1427
178	310	1425
179	312	1423
180	314	1421
181	315	1418
182	316	1414
183	318	1412
184	319	1409
185	321	1407
186	322	1403
187	324	1402
188	326	1400
189	328	1399
190	329	1397
191	331	1396
192	333	1393
193	334	1391
194	336	1389
195	338	1387
196	339	1385
197	341	1383
198	342	1380
199	344	1378
200	346	1376
201	347	1374
202	349	1372
203	351	1370
204	352	1368
205	354	1367
206	356	1366
207	358	1364
208	360	1364
209	362	1362
210	363	1360
211	365	1358
212	366	1355
213	368	1353
214	369	1350
215	371	1348
216	373	1345
217	374	1343
218	376	1341
219	377	1339
220	379	1337
221	380	1334
222	382	1332
223	384	1330
224	385	1328
225	387	1326
226	388	1324
227	390	1322
228	392	1320
229	393	1316
230	394	1314
231	396	1312
232	399	1313
233	400	1312
234	402	1310
235	404	1309
236	405	1307
237	407	1304
238	409	1302
239	411	1301
240	412	1299
241	414	1297
242	415	1295
243	417	1293
244	419	1292
245	421	1291
246	422	1289
247	424	1287
248	426	1284
249	427	1283
250	428	1279
251	430	1277
252	432	1275
253	433	1273
254	435	1271
255	436	1269
256	438	1267
257	440	1265
258	441	1263
259	443	1261
260	445	1260
261	446	1258
262	448	1255
263	449	1253
264	451	1251
265	452	1248
266	453	1245
267	455	1243
268	456	1241
269	458	1238
270	460	1237
271	461	1235
272	462	1232
273	465	1233
274	467	1231
275	468	1230
276	470	1227
277	472	1226
278	473	1223
279	475	1221
280	476	1219
281	479	1219
282	480	1217
283	482	1215
284	483	1213
285	485	1211
286	486	1209
287	488	1208
288	490	1206
289	492	1205
290	493	1203
291	495	1200
292	496	1198
293	498	1195
294	499	1193
295	501	1191
296	502	1189
297	503	1186
298	505	1184
299	507	1183
300	508	1181
301	511	1181
302	512	1179
303	514	1177
304	516	1177
305	518	1175
306	519	1173
307	521	1171
308	522	1168
309	524	1166
310	526	1166
311	527	1164
312	529	1162
313	531	1160
314	532	1158
315	534	1155
316	535	1153
317	537	1151
318	538	1149
319	539	1147
320	541	1144
321	542	1142
322	544	1140
323	547	1141
324	548	1140
325	550	1138
326	552	1136
327	554	1136
328	556	1135
329	559	1136
330	561	1134
331	562	1132
332	564	1130
333	566	1128
334	567	1126
335	569	1124
336	570	1123
337	572	1121
338	574	1119
339	576	1119
340	578	1117
341	580	1116
342	581	1114
343	583	1112
344	585	1110
345	586	1108
346	588	1107
347	590	1106
348	592	1104
349	593	1102
350	595	1100
351	596	1098
352	598	1096
353	600	1095
354	601	1093
355	603	1091
356	604	1088
357	606	1086
358	608	1086
359	610	1084
360	611	1082
361	613	1081
362	615	1080
363	617	1078
364	618	1076
365	620	1074
366	621	1072
367	624	1071
368	625	1069
369	627	1068
370	628	1066
371	630	1065
372	633	1064
373	634	1062
374	637	1061
